,cancion,danceability,energy,speachiness,acousticness,tempo
0,Blinding Lights,0.548,0.894,0.0376,0.0565,170.912
1,Believer,0.487,0.838,0.255,0.058,93.701
2,I Took A Pill In Ibiza - Seeb Remix,0.664,0.714,0.111,0.0353,101.969
3,Safe And Sound,0.471,0.3,0.028,0.883,144.319
4,Yeah! (feat. Lil Jon & Ludacris),0.894,0.791,0.112,0.0183,105.018
5,Here Comes The Sun - Remastered 2009,0.619,0.234,0.0351,0.956,123.737
6,Flowers,0.838,0.364,0.134,0.0849,79.987
7,Grenade,0.704,0.558,0.0542,0.148,110.444
8,Need to Know,0.664,0.609,0.0707,0.304,130.041
9,Dandelions,0.33,0.709,0.0312,0.0411,101.673
10,Shape of You,0.53,0.92,0.0734,0.0255,191.977
11,Mr. Brightside,0.352,0.911,0.0747,0.00121,148.033
12,Sex on Fire,0.265,0.709,0.118,0.0641,93.626
13,Smells Like Teen Spirit,0.608,0.511,0.0383,0.0299,113.898
14,Whistle,0.747,0.937,0.0453,0.0208,103.976
15,Viva La Vida,0.8,0.35,0.0573,0.922,130.09
16,Everybody Wants To Rule The World,0.614,0.0735,0.0324,0.779,99.979
17,Enter Sandman,0.566,0.834,0.0298,0.00277,123.296
18,Thunderstruck,0.502,0.89,0.0364,0.000147,133.52
19,Insane,0.412,0.449,0.0341,0.453,91.533
20,Boomerang,0.828,0.794,0.0436,0.00942,115.013
21,India,0.74,0.666,0.0518,0.122,74.963
22,Livin' On A Prayer,0.662,0.161,0.046,0.986,99.953
23,Don't Stop Believin',0.505,0.754,0.0366,0.132,119.204
24,Wonderwall,0.7,0.705,0.0414,0.148,99.97
25,Hey Ya!,0.727,0.974,0.0664,0.103,79.526
26,I Gotta Feeling,0.744,0.766,0.0265,0.0873,127.966
27,Iris,0.556,0.062,0.0666,0.996,108.929
28,Capy´s Journey to the Olympus - Dance,0.745,0.186,0.0389,0.882,144.007
29,Highway to Hell,0.574,0.913,0.133,0.061,115.728
30,Under the Bridge,0.559,0.345,0.0459,0.0576,84.581
31,We Found Love,0.735,0.766,0.0384,0.025,127.975
32,Sweet Home Alabama,0.596,0.606,0.0255,0.181,97.785
33,Eye of the Tiger,0.815,0.438,0.0346,0.216,108.966
34,Summer,0.6,0.572,0.0272,0.0173,90.029
35,Story of My Life,0.6,0.663,0.0477,0.225,121.07
36,Californication,0.592,0.767,0.027,0.0021,96.483
37,Take on Me,0.576,0.94,0.118,0.0192,97.876
38,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0.722,0.758,0.0471,0.0111,128.047
39,Losing My Religion,0.666,0.855,0.0295,0.179,125.639
40,Don't Stop Me Now - Remastered 2011,0.563,0.865,0.16,0.0472,156.271
41,Every Breath You Take,0.78,0.573,0.038,0.249,119.973
42,Creep,0.905,0.436,0.0521,0.733,95.056
43,Wake Me Up,0.459,0.0194,0.0422,0.991,68.06
44,A Sky Full of Stars,0.545,0.675,0.0279,0.00617,124.97
45,Billie Jean,0.929,0.449,0.0698,0.0182,117.118
46,Party In The U.S.A.,0.652,0.698,0.042,0.00112,96.021
47,NEO EDEN,0.514,0.392,0.0312,0.887,104.513
48,As It Was,0.727,0.132,0.0451,0.993,121.996
49,Back In Black,0.759,0.538,0.384,0.151,146.933
50,Under Pressure - Remastered 2011,0.671,0.711,0.0478,0.422,113.809
51,"Hey, Soul Sister",0.673,0.886,0.0431,0.185,97.012
52,Shut Up and Dance,0.578,0.866,0.0619,0.00701,128.038
53,Have You Ever Seen The Rain,0.741,0.697,0.0277,0.0664,116.109
54,Pumped Up Kicks,0.733,0.71,0.0292,0.145,127.975
55,In the End,0.618,0.611,0.11,0.477,88.07
56,Can't Hold Us (feat. Ray Dalton),0.633,0.927,0.0839,0.0267,146.097
57,Waiting For Love,0.579,0.736,0.0527,0.31,127.999
58,Yellow,0.429,0.661,0.0281,0.00239,173.372
59,Unholy (feat. Kim Petras),0.719,0.454,0.0707,0.0138,131.007
60,Bohemian Rhapsody - Remastered 2011,0.397,0.386,0.0503,0.271,144.242
61,Hotel California - 2013 Remaster,0.579,0.508,0.027,0.00574,147.125
62,Somebody That I Used to Know,0.864,0.495,0.037,0.591,129.062
63,Pompeii,0.679,0.715,0.0407,0.0755,127.435
64,Down 2,0.62,0.776,0.0365,0.36,93.964
65,Sugar (feat. Francesco Yates),0.776,0.118,0.0569,0.896,119.944
66,Another One Bites The Dust - Remastered 2011,0.932,0.528,0.161,0.115,109.975
67,Numb,0.357,0.882,0.0673,0.739,105.301
68,Timber,0.598,0.554,0.0273,0.123,124.918
69,Call Me Maybe,0.782,0.58,0.0407,0.0114,120.021
70,Running on Empty,0.541,0.711,0.0383,0.0635,136.58
71,Sweet Dreams (Are Made of This) - Remastered,0.519,0.512,0.0279,0.28,110.156
72,Counting Stars,0.56,0.737,0.0389,0.00502,122.021
73,New Beginnings,0.187,0.0178,0.0385,0.953,67.406
74,Africa,0.798,0.423,0.103,0.155,124.976
75,We Will Rock You - Remastered 2011,0.146,0.924,0.0855,0.016,173.411
76,Time of Our Lives,0.721,0.802,0.0583,0.0921,124.022
77,Lose Yourself,0.692,0.744,0.257,0.00868,171.374
78,Locked out of Heaven,0.726,0.698,0.0431,0.049,143.994
79,Do I Wanna Know?,0.548,0.532,0.0323,0.186,85.03
80,Valencia,0.779,0.815,0.0553,0.438,90.524
81,"Shakira: Bzrp Music Sessions, Vol. 53",0.842,0.745,0.0399,0.281,122.06
82,Titanium (feat. Sia),0.604,0.788,0.103,0.0678,126.06
83,Cold Heart - PNAU Remix,0.796,0.798,0.0317,0.034,116.032
84,PABLO - Sped Up,0.706,0.384,0.176,0.0137,95.004
85,The Real Slim Shady,0.949,0.661,0.0572,0.0302,104.504
86,Set Fire to the Rain,0.716,0.777,0.0284,0.0291,126.991
87,No Role Modelz,0.657,0.33,0.0299,0.698,79.962
88,I Failed You,0.31,0.721,0.268,0.0387,169.976
89,Chop Suey!,0.417,0.934,0.119,0.000278,127.066
90,Ni**as In Paris,0.789,0.858,0.311,0.127,140.022
91,Sweater Weather,0.612,0.807,0.0336,0.0495,124.053
92,All Girls Are The Same,0.671,0.529,0.307,0.0769,161.989
93,Mockingbird,0.794,0.31,0.106,0.832,185.324
94,Why'd You Only Call Me When You're High?,0.358,0.0668,0.0381,0.951,146.005
95,Cape Cabo,0.72,0.725,0.277,0.34,180.063
96,Feel Good Inc.,0.768,0.374,0.174,0.551,130.017
97,Workout,0.776,0.608,0.0569,0.0109,149.991
98,Payphone,0.739,0.756,0.0394,0.0136,110.028
99,Not Like Us,0.898,0.472,0.0776,0.0107,101.061
100,MILLION DOLLAR BABY,0.849,0.699,0.0436,0.0982,138.003
101,euphoria,0.823,0.337,0.738,0.645,145.922
102,Like That,0.856,0.339,0.173,0.0516,136.159
103,Family Matters,0.603,0.483,0.216,0.00384,133.983
104,Fortnight (feat. Post Malone),0.504,0.386,0.0308,0.502,192.004
105,System,0.531,0.621,0.426,0.602,112.352
106,A Bar Song (Tipsy),0.722,0.709,0.0273,0.0633,81.012
107,meet the grahams,0.565,0.922,0.117,0.000244,130.033
108,Para Dey!,0.421,0.238,0.0427,0.771,148.001
109,Espresso,0.701,0.76,0.0285,0.107,103.969
110,Fly Guys,0.779,0.408,0.333,0.0295,95.087
111,Down Bad,0.541,0.366,0.0748,0.56,159.707
112,Beautiful Things,0.472,0.471,0.0603,0.151,105.029
113,Ginger,0.605,0.919,0.349,0.136,129.961
114,Too Sweet,0.803,0.597,0.141,0.000619,136.008
115,I Can Do It With a Broken Heart,0.701,0.751,0.0502,0.123,129.994
116,Gata Only,0.791,0.499,0.0509,0.446,99.986
117,Type Shit,0.64,0.552,0.129,0.0215,144.941
118,Pop Girl,0.834,0.571,0.0615,0.64,109.937
119,But Daddy I Love Him,0.521,0.72,0.104,0.384,79.943
120,Magnetic,0.442,0.593,0.0345,0.793,92.124
121,Push Ups,0.598,0.696,0.112,0.0153,91.057
122,Lose Control,0.596,0.711,0.0379,0.162,159.812
123,"So Long, London",0.423,0.533,0.322,0.73,160.218
124,Who’s Afraid of Little Old Me?,0.606,0.338,0.048,0.315,119.88
125,Guilty as Sin?,0.626,0.428,0.0261,0.607,94.95
126,The Tortured Poets Department,0.601,0.44,0.0256,0.0442,110.315
127,My Boy Only Breaks His Favorite Toys,0.796,0.451,0.0317,0.219,120.079
128,we can't be friends (wait for your love),0.645,0.646,0.0427,0.0615,115.842
129,Florida!!! (feat. Florence + The Machine),0.533,0.573,0.138,0.178,150.088
130,The Smallest Man Who Ever Lived,0.426,0.41,0.0581,0.52,142.377
131,i like the way you kiss me,0.599,0.946,0.0447,0.000938,151.647
132,Bling-Bang-Bang-Born,0.853,0.822,0.246,0.0841,157.013
133,Get It Sexyy,0.811,0.64,0.274,0.0957,145.031
134,Saturn,0.131,0.205,0.0387,0.624,146.089
135,Snooze,0.559,0.551,0.132,0.141,143.008
136,Fresh Out The Slammer,0.808,0.513,0.678,0.12,106.739
137,loml,0.83,0.752,0.266,0.0361,124.948
138,Cruel Summer,0.666,0.871,0.0272,0.27,108.501
139,Last Night,0.489,0.624,0.0278,0.326,90.009
140,The Alchemy,0.49,0.47,0.21,0.588,78.831
141,Stick Season,0.664,0.5,0.0651,0.799,117.896
142,幾億光年,0.444,0.684,0.027,0.00448,96.225
143,CARNIVAL,0.594,0.811,0.159,0.189,148.144
144,I Can Fix Him (No Really I Can),0.661,0.257,0.045,0.768,106.896
145,Wanna Be (with Megan Thee Stallion),0.919,0.629,0.376,0.0226,135.05
146,ライラック,0.511,0.924,0.0584,0.00269,135.027
147,Whatever She Wants,0.803,0.512,0.066,0.128,96.02
148,Training Season,0.812,0.587,0.0477,0.0349,123.041
149,Freestyle,0.887,0.52,0.296,0.00158,91.933
150,I Remember Everything (feat. Kacey Musgraves),0.429,0.453,0.0459,0.554,77.639
151,Cowgirls (feat. ERNEST),0.621,0.779,0.0361,0.216,172.037
152,imgonnagetyouback,0.653,0.231,0.0367,0.859,84.903
153,Clara Bow,0.686,0.318,0.0263,0.636,104.088
154,Yeah Glo!,0.894,0.66,0.33,0.0243,148.072
155,greedy,0.749,0.729,0.0321,0.261,111.004
156,The Black Dog,0.527,0.27,0.038,0.707,154.042
157,Best I Ever Had,0.395,0.922,0.375,0.19,162.361
158,HUMBLE.,0.908,0.621,0.102,0.000282,150.011
159,So High School,0.366,0.866,0.0466,0.0274,176.07
160,Mask Off,0.833,0.434,0.431,0.0102,150.062
