,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,generos
0,0,Blinding Lights,0.548,0.894,0.0376,0.0565,170.912,"['canadian contemporary country', 'canadian country']"
1,1,Believer,0.487,0.838,0.255,0.058,93.701,"['modern rock', 'pop', 'rock']"
2,2,I Took A Pill In Ibiza - Seeb Remix,0.664,0.714,0.111,0.0353,101.969,"['dance pop', 'pop', 'pop dance', 'pop rap']"
3,3,Safe And Sound,0.471,0.3,0.028,0.883,144.319,['pop']
4,4,Yeah! (feat. Lil Jon & Ludacris),0.894,0.791,0.112,0.0183,105.018,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']"
5,5,Here Comes The Sun - Remastered 2009,0.619,0.234,0.0351,0.956,123.737,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
6,6,Flowers,0.838,0.364,0.134,0.0849,79.987,"['chillhop', 'lo-fi beats', 'lo-fi house']"
7,7,Grenade,0.704,0.558,0.0542,0.148,110.444,"['dance pop', 'pop']"
8,8,Need to Know,0.664,0.609,0.0707,0.304,130.041,"['dance pop', 'pop']"
9,9,Dandelions,0.33,0.709,0.0312,0.0411,101.673,['stomp and holler']
10,10,Shape of You,0.53,0.92,0.0734,0.0255,191.977,['post-screamo']
11,11,Mr. Brightside,0.352,0.911,0.0747,0.00121,148.033,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
12,12,Sex on Fire,0.265,0.709,0.118,0.0641,93.626,"['modern rock', 'rock']"
13,13,Smells Like Teen Spirit,0.608,0.511,0.0383,0.0299,113.898,[]
14,14,Whistle,0.747,0.937,0.0453,0.0208,103.976,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
15,15,Viva La Vida,0.8,0.35,0.0573,0.922,130.09,[]
16,16,Everybody Wants To Rule The World,0.614,0.0735,0.0324,0.779,99.979,['lo-fi cover']
17,17,Enter Sandman,0.566,0.834,0.0298,0.00277,123.296,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
18,18,Thunderstruck,0.502,0.89,0.0364,0.000147,133.52,"['australian rock', 'hard rock', 'rock']"
19,19,Insane,0.412,0.449,0.0341,0.453,91.533,[]
20,20,Boomerang,0.828,0.794,0.0436,0.00942,115.013,['movie tunes']
21,21,India,0.74,0.666,0.0518,0.122,74.963,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
22,22,Livin' On A Prayer,0.662,0.161,0.046,0.986,99.953,"['glam metal', 'rock']"
23,23,Don't Stop Believin',0.505,0.754,0.0366,0.132,119.204,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
24,24,Wonderwall,0.7,0.705,0.0414,0.148,99.97,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']"
25,25,Hey Ya!,0.727,0.974,0.0664,0.103,79.526,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
26,26,I Gotta Feeling,0.744,0.766,0.0265,0.0873,127.966,"['dance pop', 'pop', 'pop rap']"
27,27,Iris,0.556,0.062,0.0666,0.996,108.929,['classify']
28,28,Capy´s Journey to the Olympus - Dance,0.745,0.186,0.0389,0.882,144.007,[]
29,29,Highway to Hell,0.574,0.913,0.133,0.061,115.728,"['australian rock', 'hard rock', 'rock']"
30,30,Under the Bridge,0.559,0.345,0.0459,0.0576,84.581,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
31,31,We Found Love,0.735,0.766,0.0384,0.025,127.975,"['barbadian pop', 'pop', 'urban contemporary']"
32,32,Sweet Home Alabama,0.596,0.606,0.0255,0.181,97.785,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']"
33,33,Eye of the Tiger,0.815,0.438,0.0346,0.216,108.966,"['album rock', 'glam metal', 'hard rock', 'soft rock']"
34,34,Summer,0.6,0.572,0.0272,0.0173,90.029,[]
35,35,Story of My Life,0.6,0.663,0.0477,0.225,121.07,"['boy band', 'pop', 'post-teen pop', 'talent show']"
36,36,Californication,0.592,0.767,0.027,0.0021,96.483,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
