,Unnamed: 0.1,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,artista,imagenes,urlSpot
0,0,0,Blinding Lights,0.548,0.894,0.0376,0.0565,170.912,Tebey,https://i.scdn.co/image/ab67616d0000b27330a7da693427ed4c700b9734,https://open.spotify.com/album/2xdFoFzJDYziRnia2PBEgt
1,1,1,Believer,0.487,0.838,0.255,0.058,93.701,Imagine Dragons,https://i.scdn.co/image/ab67616d0000b2735e1db60a6f9214c247061d86,https://open.spotify.com/album/6Q0aPCxLqK5EDSJdlPkNeT
2,2,2,I Took A Pill In Ibiza - Seeb Remix,0.664,0.714,0.111,0.0353,101.969,Mike Posner,https://i.scdn.co/image/ab67616d0000b2731db27fa11dbafa67857da8f3,https://open.spotify.com/album/6Phl1V5P0sPrWJytXHGFeO
3,3,3,Safe And Sound,0.471,0.3,0.028,0.883,144.319,Capital Cities,https://i.scdn.co/image/ab67616d0000b2734f719ea76d1b7048664b8fec,https://open.spotify.com/album/4eZKjfeKPSwd6NYsmlKjuR
4,4,4,Yeah! (feat. Lil Jon & Ludacris),0.894,0.791,0.112,0.0183,105.018,USHER,https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da,https://open.spotify.com/album/1RM6MGv6bcl6NrAG8PGoZk
5,5,5,Here Comes The Sun - Remastered 2009,0.619,0.234,0.0351,0.956,123.737,The Beatles,https://i.scdn.co/image/ab67616d0000b273c94603dcb78ec39322cebb5b,https://open.spotify.com/album/5iT3F2EhjVQVrO4PKhsP8c
6,6,6,Flowers,0.838,0.364,0.134,0.0849,79.987,The Deli,https://i.scdn.co/image/ab67616d0000b273247f9a30e283798d925b71b1,https://open.spotify.com/album/1DewSgsGUFhSPACbWtmZGa
7,7,7,Grenade,0.704,0.558,0.0542,0.148,110.444,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,https://open.spotify.com/album/1uyf3l2d4XYwiEqAb7t7fX
8,8,8,Need to Know,0.664,0.609,0.0707,0.304,130.041,Doja Cat,https://i.scdn.co/image/ab67616d0000b273be841ba4bc24340152e3a79a,https://open.spotify.com/album/1nAQbHeOWTfQzbOoFrvndW
9,9,9,Dandelions,0.33,0.709,0.0312,0.0411,101.673,Ruth B.,https://i.scdn.co/image/ab67616d0000b27396c2ed12fcaadba5e1eac696,https://open.spotify.com/album/0W26SC6AcPdqk1Hz5hfWnj
10,10,10,Shape of You,0.53,0.92,0.0734,0.0255,191.977,Fame on Fire,https://i.scdn.co/image/ab67616d0000b27336af4da408a79320bb873b49,https://open.spotify.com/album/4eYjV7ET5e8iOtyxg5CLNq
11,11,11,Mr. Brightside,0.352,0.911,0.0747,0.00121,148.033,The Killers,https://i.scdn.co/image/ab67616d0000b273bf134707d20f3a6941d64637,https://open.spotify.com/album/5f1wXxJR0mdlj2Nd09UtAi
12,12,12,Sex on Fire,0.265,0.709,0.118,0.0641,93.626,PARTYNEXTDOOR,https://i.scdn.co/image/ab67616d0000b2732519d01c0cca06f134eeadd8,https://open.spotify.com/album/5CZR6ljD0x9fTiS4mh9wMp
13,13,13,Smells Like Teen Spirit,0.608,0.511,0.0383,0.0299,113.898,Witchz,https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf,https://open.spotify.com/album/2guirTSEqLizK7j9i1MTTZ
14,14,14,Whistle,0.747,0.937,0.0453,0.0208,103.976,Flo Rida,https://i.scdn.co/image/ab67616d0000b273cd3edc2ae9147ef5ded74f18,https://open.spotify.com/album/3b907XkOKqImIVX1aZmSou
15,15,15,Viva La Vida,0.8,0.35,0.0573,0.922,130.09,main character melodies,https://i.scdn.co/image/ab67616d0000b27365ea1c999ca9226e5671b981,https://open.spotify.com/album/2EWm1pYI5Tq9aOzrLNVmor
16,16,16,Everybody Wants To Rule The World,0.614,0.0735,0.0324,0.779,99.979,Covers Unplugged,https://i.scdn.co/image/ab67616d0000b27386babc8f0d9b83cc6a563e05,https://open.spotify.com/album/0rZHqDWL4PE9XVSQBLgJ13
17,17,17,Enter Sandman,0.566,0.834,0.0298,0.00277,123.296,Ghost,https://i.scdn.co/image/ab67616d0000b2731f9edf15e43f4c2f4938b869,https://open.spotify.com/album/55fq75UfkYbGMq4CncCtOH
18,18,18,Thunderstruck,0.502,0.89,0.0364,0.000147,133.52,AC/DC,https://i.scdn.co/image/ab67616d0000b27384c1426062b7532efc60a146,https://open.spotify.com/album/5YBY91ePHZWzgsLRrDK8DI
19,19,19,Insane,0.412,0.449,0.0341,0.453,91.533,insaneintherainmusic,https://i.scdn.co/image/ab67616d0000b273e5e6508c3a698f2a7c112a06,https://open.spotify.com/album/21jan3bQWvIBBn9FdTPmJT
20,20,20,Boomerang,0.828,0.794,0.0436,0.00942,115.013,Jojo Siwa (Kids),https://i.scdn.co/image/ab67616d0000b2739ba057362f1d4018b4cedc0a,https://open.spotify.com/album/4XjsEEC0egjD59vuN93ep5
21,21,21,India,0.74,0.666,0.0518,0.122,74.963,Lil Durk,https://i.scdn.co/image/ab67616d0000b273cc252a21d0f26d9378f03ed6,https://open.spotify.com/album/7HB55Zq1RoZvtwQGm5nxhv
22,22,22,Livin' On A Prayer,0.662,0.161,0.046,0.986,99.953,Bon Jovi,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac,https://open.spotify.com/album/0kBfgEilUFCMIQY5IOjG4t
23,23,23,Don't Stop Believin',0.505,0.754,0.0366,0.132,119.204,Journey,https://i.scdn.co/image/ab67616d0000b2730f6ce5c138493ac768d9afc8,https://open.spotify.com/album/5pfpXvoJtSIFrbPIoBEv3R
24,24,24,Wonderwall,0.7,0.705,0.0414,0.148,99.97,Oasis,https://i.scdn.co/image/ab67616d0000b273bddacd834aef0b78006eb0db,https://open.spotify.com/album/05UF2efu1b171BiCLMJlCF
25,25,25,Hey Ya!,0.727,0.974,0.0664,0.103,79.526,Outkast,https://i.scdn.co/image/ab67616d0000b2736a6387ab37f64034cdc7b367,https://open.spotify.com/album/1UsmQ3bpJTyK6ygoOOjG1r
26,26,26,I Gotta Feeling,0.744,0.766,0.0265,0.0873,127.966,Black Eyed Peas,https://i.scdn.co/image/ab67616d0000b273382514f0114ba8f4a16d5db4,https://open.spotify.com/album/3lng6RAtdksQ2q02Fk5jaB
27,27,27,Iris,0.556,0.062,0.0666,0.996,108.929,Music Lab Collective,https://i.scdn.co/image/ab67616d0000b27319101543e78a10bd77eccc70,https://open.spotify.com/album/4bzdOlm7AWqvF4DFfJq6x9
28,28,28,Capy´s Journey to the Olympus - Dance,0.745,0.186,0.0389,0.882,144.007,The Cast Of Journey To Bethlehem,https://i.scdn.co/image/ab67616d0000b273361f00de7de9a99be7bffcc6,https://open.spotify.com/album/3H7DuofRiTRQZH74HLOQPq
29,29,29,Highway to Hell,0.574,0.913,0.133,0.061,115.728,AC/DC,https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0,https://open.spotify.com/album/10v912xgTZbjAtYfyKWJCS
30,30,30,Under the Bridge,0.559,0.345,0.0459,0.0576,84.581,Red Hot Chili Peppers,https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70,https://open.spotify.com/album/30Perjew8HyGkdSmqguYyg
31,31,31,We Found Love,0.735,0.766,0.0384,0.025,127.975,Rihanna,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46,https://open.spotify.com/album/2g1EakEaW7fPTZC6vBmBCn
32,32,32,Sweet Home Alabama,0.596,0.606,0.0255,0.181,97.785,Lynyrd Skynyrd,https://i.scdn.co/image/ab67616d0000b27317e1907923e91181f38290ac,https://open.spotify.com/album/54V1ljNtyzAm053oJqi0SH
33,33,33,Eye of the Tiger,0.815,0.438,0.0346,0.216,108.966,Survivor,https://i.scdn.co/image/ab67616d0000b273c722845f4d534fee30ab6d0f,https://open.spotify.com/album/3C20zCOVCXIb9xr0Z6wcCG
34,34,34,Summer,0.6,0.572,0.0272,0.0173,90.029,TrackVibes,https://i.scdn.co/image/ab67616d0000b27397d4d28370521d7f31b07ce3,https://open.spotify.com/album/36oOq5EXd9D6xia0xpmuBZ
35,35,35,Story of My Life,0.6,0.663,0.0477,0.225,121.07,One Direction,https://i.scdn.co/image/ab67616d0000b27388914878d6980c0075913292,https://open.spotify.com/album/6C4DfusL8qEXmt6MFhAMU6
36,36,36,Californication,0.592,0.767,0.027,0.0021,96.483,Red Hot Chili Peppers,https://i.scdn.co/image/ab67616d0000b273879e9318cb9f4e05ee552ac9,https://open.spotify.com/album/5XpEKORZ4y6OrCZSKsi46A
37,37,37,Take on Me,0.576,0.94,0.118,0.0192,97.876,Reel Big Fish,https://i.scdn.co/image/ab67616d0000b273d8a2c79bb4e493c53c18c114,https://open.spotify.com/album/55SHqC4ZxSnT0wWQgg9eOY
38,38,38,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0.722,0.758,0.0471,0.0111,128.047,Maroon 5,https://i.scdn.co/image/ab67616d0000b273ce70cb2d7063cf869f9f1239,https://open.spotify.com/album/7strNUlU6xZqlVWBNUdOYv
39,39,39,Losing My Religion,0.666,0.855,0.0295,0.179,125.639,R.E.M.,https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd,https://open.spotify.com/album/6yEuIwTQpciH1qtj7mP5GK
40,40,40,Don't Stop Me Now - Remastered 2011,0.563,0.865,0.16,0.0472,156.271,Queen,https://i.scdn.co/image/ab67616d0000b273008b06ec71019afd70153889,https://open.spotify.com/album/21HMAUrbbYSj9NiPPlGumy
41,41,41,Every Breath You Take,0.78,0.573,0.038,0.249,119.973,Deep Chills,https://i.scdn.co/image/ab67616d0000b273978d9f8912e06539747b4c7c,https://open.spotify.com/album/7AAKCABCnLAUFSgoWkYK3e
42,42,42,Creep,0.905,0.436,0.0521,0.733,95.056,owlh,https://i.scdn.co/image/ab67616d0000b2733a5faed9228bad4d348d7f42,https://open.spotify.com/album/4miMnywBrNgI5A3P45Gj6P
43,43,43,Wake Me Up,0.459,0.0194,0.0422,0.991,68.06,Figgy Malone,https://i.scdn.co/image/ab67616d0000b273601e8e67682102f61f0e195a,https://open.spotify.com/album/0WXTylU55NFcO4gLH2e4JP
44,44,44,A Sky Full of Stars,0.545,0.675,0.0279,0.00617,124.97,Coldplay,https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf,https://open.spotify.com/album/2G4AUqfwxcV1UdQjm2ouYr
45,45,45,Billie Jean,0.929,0.449,0.0698,0.0182,117.118,G Perico,https://i.scdn.co/image/ab67616d0000b273c09743453ed63d80d674f4d6,https://open.spotify.com/album/7L3aDiPHK8qUEqDiRWxqAs
46,46,46,Party In The U.S.A.,0.652,0.698,0.042,0.00112,96.021,Miley Cyrus,https://i.scdn.co/image/ab67616d0000b273d6c3ad6a2a27471e1d5e8103,https://open.spotify.com/album/64aKkqxc3Ur2LYIKeS5osS
47,47,47,NEO EDEN,0.514,0.392,0.0312,0.887,104.513,EDEN,https://i.scdn.co/image/ab67616d0000b27345f0a939a410566b8858085c,https://open.spotify.com/album/103Ei0O61EuLk5cnadIT0t
48,48,48,As It Was,0.727,0.132,0.0451,0.993,121.996,Harry Styles,https://i.scdn.co/image/ab67616d0000b2738d0a2de1887a7e3027dd883e,https://open.spotify.com/album/6iQxfVGyGtlVqYMOQ0MrsU
49,49,49,Back In Black,0.759,0.538,0.384,0.151,146.933,AC/DC,https://i.scdn.co/image/ab67616d0000b273f10858519346ab01dcb744b5,https://open.spotify.com/album/2UwJ4Nt10VStLczYefhcEV
50,50,50,Under Pressure - Remastered 2011,0.671,0.711,0.0478,0.422,113.809,Queen,https://i.scdn.co/image/ab67616d0000b273c12b6aa3d50150032e455286,https://open.spotify.com/album/7rq68qYz66mNdPfidhIEFa
51,51,51,"Hey, Soul Sister",0.673,0.886,0.0431,0.185,97.012,Train,https://i.scdn.co/image/ab67616d0000b2736ff8bc258e3ebc835ffe14ca,https://open.spotify.com/album/1CwXS6MAz8Wo7K4TzW9iuR
52,52,52,Shut Up and Dance,0.578,0.866,0.0619,0.00701,128.038,WALK THE MOON,https://i.scdn.co/image/ab67616d0000b27343294cfa2688055c9d821bf3,https://open.spotify.com/album/3mNoFlD1wsoXfkljfFzExT
53,53,53,Have You Ever Seen The Rain,0.741,0.697,0.0277,0.0664,116.109,Creedence Clearwater Revival,https://i.scdn.co/image/ab67616d0000b27351f311c2fb06ad2789e3ff91,https://open.spotify.com/album/372cMadhAGlNuDnc8TssqF
54,54,54,Pumped Up Kicks,0.733,0.71,0.0292,0.145,127.975,Foster The People,https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5,https://open.spotify.com/album/7Kmmw7Z5D2UD5MVwdm10sT
55,55,55,In the End,0.618,0.611,0.11,0.477,88.07,Tommee Profitt,https://i.scdn.co/image/ab67616d0000b27346557fdc7325844aa2177155,https://open.spotify.com/album/4ogDiddFmcxnT4PC9lVEoV
56,56,56,Can't Hold Us (feat. Ray Dalton),0.633,0.927,0.0839,0.0267,146.097,Macklemore & Ryan Lewis,https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec,https://open.spotify.com/album/76FXHQhTuT4QMIxfL09gX8
57,57,57,Waiting For Love,0.579,0.736,0.0527,0.31,127.999,Avicii,https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468,https://open.spotify.com/album/7dqftJ3kas6D0VAdmt3k3V
58,58,58,Yellow,0.429,0.661,0.0281,0.00239,173.372,Coldplay,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0,https://open.spotify.com/album/6ZG5lRT77aJ3btmArcykra
59,59,59,Unholy (feat. Kim Petras),0.719,0.454,0.0707,0.0138,131.007,Sam Smith,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,https://open.spotify.com/album/0gX9tkL5njRax8ymWcXARi
